radius, dimension, num_points, threshold_0.1, threshold_0.01, threshold_0.001, num_sketches
5, 2, 500, 50, 134, 144, 145
5, 2, 1000, 53, 250, 267, 270
5, 2, 2000, 58, 473, 555, 559
5, 2, 5000, 54, 936, 1357, 1376
5, 3, 500, 70, 275, 289, 290
5, 3, 1000, 88, 507, 561, 566
5, 3, 2000, 81, 957, 1158, 1164
5, 3, 5000, 94, 2038, 2928, 2947
5, 5, 500, 88, 521, 562, 563
5, 5, 1000, 110, 1009, 1150, 1154
5, 5, 2000, 125, 1872, 2399, 2419
5, 5, 5000, 125, 3542, 6407, 6487
10, 2, 500, 32, 128, 140, 141
10, 2, 1000, 56, 244, 277, 278
10, 2, 2000, 51, 468, 557, 562
10, 2, 5000, 70, 995, 1377, 1395
10, 3, 500, 66, 263, 279, 280
10, 3, 1000, 91, 520, 583, 585
10, 3, 2000, 100, 983, 1162, 1168
10, 3, 5000, 115, 2138, 2957, 2979
10, 5, 500, 88, 487, 525, 526
10, 5, 1000, 89, 966, 1166, 1171
10, 5, 2000, 94, 1769, 2438, 2454
10, 5, 5000, 134, 3741, 6372, 6439
25, 2, 500, 38, 121, 131, 132
25, 2, 1000, 59, 243, 265, 268
25, 2, 2000, 53, 454, 552, 556
25, 2, 5000, 51, 943, 1393, 1409
25, 3, 500, 68, 264, 273, 275
25, 3, 1000, 72, 503, 564, 568
25, 3, 2000, 99, 968, 1150, 1158
25, 3, 5000, 119, 2136, 2923, 2948
25, 5, 500, 93, 514, 560, 561
25, 5, 1000, 103, 1009, 1150, 1154
25, 5, 2000, 130, 1955, 2462, 2472
25, 5, 5000, 137, 3684, 6417, 6495
50, 2, 500, 44, 130, 135, 136
50, 2, 1000, 51, 254, 279, 280
50, 2, 2000, 56, 455, 550, 557
50, 2, 5000, 60, 1009, 1414, 1430
50, 3, 500, 64, 254, 277, 278
50, 3, 1000, 91, 537, 579, 580
50, 3, 2000, 81, 931, 1147, 1151
50, 3, 5000, 72, 1811, 2952, 2988
50, 5, 500, 87, 496, 537, 540
50, 5, 1000, 108, 1035, 1181, 1185
50, 5, 2000, 114, 1839, 2393, 2405
50, 5, 5000, 124, 3402, 6266, 6356
100, 2, 500, 44, 126, 135, 136
100, 2, 1000, 42, 233, 263, 265
100, 2, 2000, 51, 449, 555, 559
100, 2, 5000, 63, 962, 1408, 1425
100, 3, 500, 65, 256, 273, 274
100, 3, 1000, 92, 500, 541, 543
100, 3, 2000, 104, 1011, 1155, 1163
100, 3, 5000, 114, 2073, 2842, 2864
100, 5, 500, 74, 498, 548, 551
100, 5, 1000, 99, 1019, 1172, 1176
100, 5, 2000, 108, 1850, 2440, 2460
100, 5, 5000, 150, 3814, 6278, 6367
200, 2, 500, 36, 121, 141, 142
200, 2, 1000, 49, 250, 280, 281
200, 2, 2000, 62, 470, 548, 553
200, 2, 5000, 54, 977, 1384, 1397
200, 3, 500, 62, 268, 287, 288
200, 3, 1000, 81, 495, 553, 554
200, 3, 2000, 86, 987, 1173, 1184
200, 3, 5000, 102, 2073, 2997, 3018
200, 5, 500, 101, 522, 560, 562
200, 5, 1000, 94, 1018, 1195, 1201
200, 5, 2000, 108, 1857, 2458, 2470
200, 5, 5000, 135, 3613, 6238, 6301
300, 2, 500, 41, 134, 144, 145
300, 2, 1000, 44, 243, 277, 278
300, 2, 2000, 59, 474, 560, 562
300, 2, 5000, 56, 949, 1361, 1374
300, 3, 500, 69, 266, 280, 282
300, 3, 1000, 83, 527, 592, 594
300, 3, 2000, 108, 1046, 1192, 1193
300, 3, 5000, 107, 2076, 2906, 2924
300, 5, 500, 104, 510, 548, 549
300, 5, 1000, 103, 978, 1126, 1130
300, 5, 2000, 127, 1933, 2449, 2459
300, 5, 5000, 119, 3497, 6359, 6430
500, 2, 500, 48, 119, 125, 126
500, 2, 1000, 43, 250, 276, 279
500, 2, 2000, 62, 462, 547, 550
500, 2, 5000, 62, 964, 1392, 1410
500, 3, 500, 66, 254, 269, 272
500, 3, 1000, 74, 501, 557, 562
500, 3, 2000, 91, 984, 1167, 1175
500, 3, 5000, 113, 2098, 2932, 2964
500, 5, 500, 91, 527, 568, 569
500, 5, 1000, 97, 1003, 1190, 1195
500, 5, 2000, 122, 1896, 2445, 2460
500, 5, 5000, 140, 3796, 6356, 6437
1000, 2, 500, 36, 122, 131, 132
1000, 2, 1000, 44, 252, 284, 289
1000, 2, 2000, 49, 458, 551, 560
1000, 2, 5000, 66, 977, 1369, 1390
1000, 3, 500, 65, 265, 278, 279
1000, 3, 1000, 66, 493, 573, 575
1000, 3, 2000, 88, 959, 1140, 1151
1000, 3, 5000, 101, 2062, 2906, 2927
1000, 5, 500, 74, 494, 536, 538
1000, 5, 1000, 101, 1019, 1169, 1176
1000, 5, 2000, 124, 1929, 2459, 2481
1000, 5, 5000, 134, 3626, 6316, 6378
